"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$Boot"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"8192"	"7"	"27c541f1297f5f6bcd4e8831a975bb7e"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Boot"
"$ObjId"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"0"	"25"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Extend/$ObjId"
"$Quota"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"0"	"24"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Extend/$Quota"
"$Reparse"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"0"	"26"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Extend/$Reparse"
"$Repair"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"0"	"28"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Extend/$RmMetadata/$Repair"
"$Repair:$Config"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"8"	"28"	"ab981967d9f545695c396db3787f8a49"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Extend/$RmMetadata/$Repair:$Config"
"$Tops"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"100"	"32"	"d58a87ce59499c224b2aaf5480b46b7a"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops"
"$Tops:$T"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"1048576"	"32"	"b6d81b360a5672d80c27430f39153e2c"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$Tops:$T"
"$TxfLog.blf"	".blf"	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"65536"	"33"	"2dca95b8ace19afdda76f0be78448bd0"	"unknown"	"rrwxrwxrwx"	"/img_compromisecase.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLog.blf"
"$TxfLogContainer00000000000000000001"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2097152"	"34"	"925602d96b4804f5e0ca94517bb808fb"	"unknown"	"rrwxrwxrwx"	"/img_compromisecase.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000001"
"$TxfLogContainer00000000000000000002"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2097152"	"35"	"b2d1236c286a3c0704224fe4105eca49"	"unknown"	"rrwxrwxrwx"	"/img_compromisecase.E01/vol_vol2/$Extend/$RmMetadata/$TxfLog/$TxfLogContainer00000000000000000002"
"$LogFile"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2097152"	"2"	"4b3d75a32341c2248e1492a575e2a1c0"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$LogFile"
"$MFT"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"262144"	"0"	"2c878fba1cc8b6bc94a86aff5b90af01"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$MFT"
"$MFTMirr"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"4096"	"1"	"ee7d0d3c53049af28feddd4d6483db02"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$MFTMirr"
"desktop.ini"	".ini"	"r"	""	"2025-12-03 09:33:24 IST"	"2025-12-03 09:33:24 IST"	"2025-12-03 09:33:24 IST"	"129"	"41"	"a526b9e7c716b3489d8cc062fbce4005"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$RECYCLE.BIN/S-1-5-21-3746363075-3411086559-2275238992-1001/desktop.ini"
"$Secure:$SDS"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"264476"	"9"	"null"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Secure:$SDS"
"$Secure:$SDS-slack"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"1764"	"9"	"null"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Secure:$SDS-slack"
"$UpCase"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"131072"	"10"	"7ff498a44e45e77374cc7c962b1b92f2"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$UpCase"
"$UpCase:$Info"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"32"	"10"	"null"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$UpCase:$Info"
"$Volume"	""	"r"	""	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"2025-12-03 09:32:44 IST"	"0"	"3"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/$Volume"
"access_log.txt.txt"	".txt"	"r"	""	"2025-12-03 09:43:31 IST"	"2025-12-03 09:33:49 IST"	"2025-12-03 09:43:31 IST"	"283"	"42"	"120c28a85a57f437a9864b064c1d9e7c"	"unknown"	"rrwxrwxrwx"	"/img_compromisecase.E01/vol_vol2/compromise/access_log.txt.txt"
"ChatGPT Image Dec 3, 2025, 09_19_41 AM.png"	".png"	"r"	""	"2025-12-03 09:44:39 IST"	"2025-12-03 09:44:32 IST"	"2025-12-03 09:19:42 IST"	"2612615"	"43"	"a3c985be5d3e8fc8382040e8b4ca0751"	"unknown"	"rrwxrwxrwx"	"/img_compromisecase.E01/vol_vol2/compromise/ChatGPT Image Dec 3, 2025, 09_19_41 AM.png"
"ChatGPT Image Dec 3, 2025, 09_19_41 AM.png-slack"	".png-slack"	"r"	""	"2025-12-03 09:44:39 IST"	"2025-12-03 09:44:32 IST"	"2025-12-03 09:19:42 IST"	"633"	"43"	"null"	"unknown"	"rrwxrwxrwx"	"/img_compromisecase.E01/vol_vol2/compromise/ChatGPT Image Dec 3, 2025, 09_19_41 AM.png-slack"
"ChatGPT Image Dec 3, 2025, 09_19_41 AM.png:Zone.Identifier"	".Identifier"	"r"	""	"2025-12-03 09:44:39 IST"	"2025-12-03 09:44:32 IST"	"2025-12-03 09:19:42 IST"	"55"	"43"	"ca5ed5bc5320ae67f36a91614143c7e7"	"unknown"	"rrwxrwxrwx"	"/img_compromisecase.E01/vol_vol2/compromise/ChatGPT Image Dec 3, 2025, 09_19_41 AM.png:Zone.Identifier"
"New Text Document (2).txt"	".txt"	"r"	""	"2025-12-03 09:45:21 IST"	"2025-12-03 09:44:50 IST"	"2025-12-03 09:45:21 IST"	"40"	"45"	"42a0c7cdeeaae1927d086b1c1729c485"	"unknown"	"rr-xr-xr-x"	"/img_compromisecase.E01/vol_vol2/compromise/New Text Document (2).txt"
"New Text Document.txt"	".txt"	"r"	"yes"	"2025-12-03 09:44:45 IST"	"2025-12-03 09:44:45 IST"	"2025-12-03 09:44:45 IST"	"0"	"44"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_compromisecase.E01/vol_vol2/compromise/New Text Document.txt"
"WPSettings.dat"	".dat"	"r"	""	"2025-12-03 09:32:45 IST"	"2025-12-03 09:32:45 IST"	"2025-12-03 09:32:45 IST"	"12"	"37"	"6b3c2fba18d0583c7189f2545106f3fe"	"unknown"	"rrwxrwxrwx"	"/img_compromisecase.E01/vol_vol2/System Volume Information/WPSettings.dat"
"$OrphanFiles"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"v---------"	"/img_compromisecase.E01/vol_vol2/$OrphanFiles"

